entity_key,manufacturer_ref,woo_parent_sku,woo_variation_sku,mapping_kind,evidence_ref,approved_by,approved_at
lux,Lux,ENKI-ESP-LUX,,parent,enki-espejos-live-identity#parent=ENKI-ESP-LUX,catalog-owner,2026-08-31T12:01:07.000Z
lux-050101,050101,,ENKI-ESP-050101,variation,enki-espejos-live-identity#variation=ENKI-ESP-050101,catalog-owner,2026-08-31T12:01:07.000Z
lux-050102,050102,,ENKI-ESP-050102,variation,enki-espejos-live-identity#variation=ENKI-ESP-050102,catalog-owner,2026-08-31T12:01:07.000Z
lux-050103,050103,,ENKI-ESP-050103,variation,enki-espejos-live-identity#variation=ENKI-ESP-050103,catalog-owner,2026-08-31T12:01:07.000Z
lux-050104,050104,,ENKI-ESP-050104,variation,enki-espejos-live-identity#variation=ENKI-ESP-050104,catalog-owner,2026-08-31T12:01:07.000Z
lux-050105,050105,,ENKI-ESP-050105,variation,enki-espejos-live-identity#variation=ENKI-ESP-050105,catalog-owner,2026-08-31T12:01:07.000Z
lux-050106,050106,,ENKI-ESP-050106,variation,enki-espejos-live-identity#variation=ENKI-ESP-050106,catalog-owner,2026-08-31T12:01:07.000Z
lux-050107,050107,,ENKI-ESP-050107,variation,enki-espejos-live-identity#variation=ENKI-ESP-050107,catalog-owner,2026-08-31T12:01:07.000Z
pure,Pure,ENKI-ESP-PURE,,parent,enki-espejos-live-identity#parent=ENKI-ESP-PURE,catalog-owner,2026-08-31T12:01:07.000Z
pure-050201,050201,,ENKI-ESP-050201,variation,enki-espejos-live-identity#variation=ENKI-ESP-050201,catalog-owner,2026-08-31T12:01:07.000Z
pure-050202,050202,,ENKI-ESP-050202,variation,enki-espejos-live-identity#variation=ENKI-ESP-050202,catalog-owner,2026-08-31T12:01:07.000Z
pure-050203,050203,,ENKI-ESP-050203,variation,enki-espejos-live-identity#variation=ENKI-ESP-050203,catalog-owner,2026-08-31T12:01:07.000Z
pure-050204,050204,,ENKI-ESP-050204,variation,enki-espejos-live-identity#variation=ENKI-ESP-050204,catalog-owner,2026-08-31T12:01:07.000Z
line,Line,ENKI-ESP-LINE,,parent,enki-espejos-live-identity#parent=ENKI-ESP-LINE,catalog-owner,2026-08-31T12:01:07.000Z
line-050301,050301,,ENKI-ESP-050301,variation,enki-espejos-live-identity#variation=ENKI-ESP-050301,catalog-owner,2026-08-31T12:01:07.000Z
line-050302,050302,,ENKI-ESP-050302,variation,enki-espejos-live-identity#variation=ENKI-ESP-050302,catalog-owner,2026-08-31T12:01:07.000Z
line-050303,050303,,ENKI-ESP-050303,variation,enki-espejos-live-identity#variation=ENKI-ESP-050303,catalog-owner,2026-08-31T12:01:07.000Z
line-050304,050304,,ENKI-ESP-050304,variation,enki-espejos-live-identity#variation=ENKI-ESP-050304,catalog-owner,2026-08-31T12:01:07.000Z
form,Form,ENKI-ESP-FORM,,parent,enki-espejos-live-identity#parent=ENKI-ESP-FORM,catalog-owner,2026-08-31T12:01:07.000Z
form-050401,050401,,ENKI-ESP-050401,variation,enki-espejos-live-identity#variation=ENKI-ESP-050401,catalog-owner,2026-08-31T12:01:07.000Z
form-050402,050402,,ENKI-ESP-050402,variation,enki-espejos-live-identity#variation=ENKI-ESP-050402,catalog-owner,2026-08-31T12:01:07.000Z
form-050403,050403,,ENKI-ESP-050403,variation,enki-espejos-live-identity#variation=ENKI-ESP-050403,catalog-owner,2026-08-31T12:01:07.000Z
