from_entity_key,relation_type,to_entity_key,condition_json,evidence_ref,source_page
lux-050101,variant_of,lux,{},enki-espejos-catalog#page=11,11
lux-050102,variant_of,lux,{},enki-espejos-catalog#page=11,11
lux-050103,variant_of,lux,{},enki-espejos-catalog#page=11,11
lux-050104,variant_of,lux,{},enki-espejos-catalog#page=11,11
lux-050105,variant_of,lux,{},enki-espejos-catalog#page=11,11
lux-050106,variant_of,lux,{},enki-espejos-catalog#page=11,11
lux-050107,variant_of,lux,{},enki-espejos-catalog#page=11,11
pure-050201,variant_of,pure,{},enki-espejos-catalog#page=12,12
pure-050202,variant_of,pure,{},enki-espejos-catalog#page=12,12
pure-050203,variant_of,pure,{},enki-espejos-catalog#page=12,12
pure-050204,variant_of,pure,{},enki-espejos-catalog#page=12,12
line-050301,variant_of,line,{},enki-espejos-catalog#page=13,13
line-050302,variant_of,line,{},enki-espejos-catalog#page=13,13
line-050303,variant_of,line,{},enki-espejos-catalog#page=13,13
line-050304,variant_of,line,{},enki-espejos-catalog#page=13,13
form-050401,variant_of,form,{},enki-espejos-catalog#page=14,14
form-050402,variant_of,form,{},enki-espejos-catalog#page=14,14
form-050403,variant_of,form,{},enki-espejos-catalog#page=14,14
axis-050501bm,variant_of,axis,{},enki-espejos-catalog#page=15,15
axis-050502bm,variant_of,axis,{},enki-espejos-catalog#page=15,15
axis-050503bm,variant_of,axis,{},enki-espejos-catalog#page=15,15
opal-060101,variant_of,opal,{},enki-espejos-catalog#page=16,16
opal-060102,variant_of,opal,{},enki-espejos-catalog#page=16,16
opal-060103,variant_of,opal,{},enki-espejos-catalog#page=16,16
elio-060201bm,variant_of,elio,{},enki-espejos-catalog#page=17,17
elio-060202bm,variant_of,elio,{},enki-espejos-catalog#page=17,17
elio-060203bm,variant_of,elio,{},enki-espejos-catalog#page=17,17
eira-060301bm,variant_of,eira,{},enki-espejos-catalog#page=18,18
eira-060302bm,variant_of,eira,{},enki-espejos-catalog#page=18,18
auri-070101,variant_of,auri,{},enki-espejos-catalog#page=19,19
auri-070102,variant_of,auri,{},enki-espejos-catalog#page=19,19
tivo-070201bm,variant_of,tivo,{},enki-espejos-catalog#page=20,20
tivo-070202bm,variant_of,tivo,{},enki-espejos-catalog#page=20,20
