entity_key,rule_key,axis,representation,affects_sku,affects_price,affects_stock,allowed_values_json,condition_json,effect_json,evidence_ref,source_page
lux,measure,medida,variation,true,true,true,"[""60 x 80 cm"",""70 x 80 cm"",""80 x 80 cm"",""90 x 80 cm"",""100 x 80 cm"",""120 x 80 cm"",""140 x 80 cm""]",{},"{""requires_live_price"":true,""reference_strategy"":""approved_crosswalk""}",enki-espejos-publication#parent=ENKI-ESP-LUX,
pure,measure,medida,variation,true,true,true,"[""60 x 70 cm"",""80 x 70 cm"",""100 x 70 cm"",""120 x 70 cm""]",{},"{""requires_live_price"":true,""reference_strategy"":""approved_crosswalk""}",enki-espejos-publication#parent=ENKI-ESP-PURE,
line,measure,medida,variation,true,true,true,"[""60 x 70 cm"",""80 x 70 cm"",""100 x 70 cm"",""120 x 70 cm""]",{},"{""requires_live_price"":true,""reference_strategy"":""approved_crosswalk""}",enki-espejos-publication#parent=ENKI-ESP-LINE,
form,measure,medida,variation,true,true,true,"[""80 x 70 cm"",""100 x 70 cm"",""120 x 70 cm""]",{},"{""requires_live_price"":true,""reference_strategy"":""approved_crosswalk""}",enki-espejos-publication#parent=ENKI-ESP-FORM,
axis,measure,medida,variation,true,true,true,"[""80 x 70 cm"",""100 x 70 cm"",""120 x 70 cm""]",{},"{""requires_live_price"":true,""reference_strategy"":""approved_crosswalk""}",enki-espejos-publication#parent=ENKI-ESP-AXIS,
opal,measure,medida,variation,true,true,true,"[""Ø60 cm"",""Ø75 cm"",""Ø90 cm""]",{},"{""requires_live_price"":true,""reference_strategy"":""approved_crosswalk""}",enki-espejos-publication#parent=ENKI-ESP-OPAL,
elio,measure,medida,variation,true,true,true,"[""Ø60 cm"",""Ø75 cm"",""Ø90 cm""]",{},"{""requires_live_price"":true,""reference_strategy"":""approved_crosswalk""}",enki-espejos-publication#parent=ENKI-ESP-ELIO,
eira,measure,medida,variation,true,true,true,"[""Ø60 cm"",""Ø75 cm""]",{},"{""requires_live_price"":true,""reference_strategy"":""approved_crosswalk""}",enki-espejos-publication#parent=ENKI-ESP-EIRA,
auri,measure,medida,variation,true,true,true,"[""45 x 90 cm"",""60 x 85 cm""]",{},"{""requires_live_price"":true,""reference_strategy"":""approved_crosswalk""}",enki-espejos-publication#parent=ENKI-ESP-AURI,
tivo,measure,medida,variation,true,true,true,"[""45 x 90 cm"",""60 x 85 cm""]",{},"{""requires_live_price"":true,""reference_strategy"":""approved_crosswalk""}",enki-espejos-publication#parent=ENKI-ESP-TIVO,
