entity_key,fact_key,value,unit,applicability,evidence_ref,source_page,confidence
lux,product_type,espejo simple,,model,enki-espejos-catalog#page=11,11,1
lux,shape,rectangular,,model,enki-espejos-catalog#page=11,11,1
lux,orientation,horizontal o vertical,,model,enki-espejos-catalog#page=11,11,1
lux,crystal_thickness,4,mm,model,enki-espejos-catalog#page=11,11,1
lux,installation,pared,,model,enki-espejos-catalog#page=11,11,1
lux,electrical_connection,no,,model,enki-espejos-catalog#page=11,11,1
lux,lighting_type,sin luz,,model,enki-espejos-catalog#page=11,11,1
lux,touch_on_off,no,,model,enki-espejos-catalog#page=11,11,1
lux,touch_antifog,no,,model,enki-espejos-catalog#page=11,11,1
lux,bluetooth,no,,model,enki-espejos-catalog#page=11,11,1
lux,wireless_charging,no,,model,enki-espejos-catalog#page=11,11,1
lux,edge_or_frame,sin marco,,model,enki-espejos-catalog#page=11,11,1
lux,anti_corrosion,si,,model,enki-espejos-catalog#page=11,11,1
lux,protective_film,si,,model,enki-espejos-catalog#page=11,11,1
lux,ce_mark,si,,model,enki-espejos-catalog#page=11,11,1
lux,ip_rating,IP44,,model,enki-espejos-catalog#page=11,11,1
lux-050101,dimensions,60 x 80 cm,,variant,enki-espejos-catalog#page=11,11,1
lux-050101,width,60,cm,variant,enki-espejos-catalog#page=11,11,1
lux-050101,height,80,cm,variant,enki-espejos-catalog#page=11,11,1
lux-050102,dimensions,70 x 80 cm,,variant,enki-espejos-catalog#page=11,11,1
lux-050102,width,70,cm,variant,enki-espejos-catalog#page=11,11,1
lux-050102,height,80,cm,variant,enki-espejos-catalog#page=11,11,1
lux-050103,dimensions,80 x 80 cm,,variant,enki-espejos-catalog#page=11,11,1
lux-050103,width,80,cm,variant,enki-espejos-catalog#page=11,11,1
lux-050103,height,80,cm,variant,enki-espejos-catalog#page=11,11,1
lux-050104,dimensions,90 x 80 cm,,variant,enki-espejos-catalog#page=11,11,1
lux-050104,width,90,cm,variant,enki-espejos-catalog#page=11,11,1
lux-050104,height,80,cm,variant,enki-espejos-catalog#page=11,11,1
lux-050105,dimensions,100 x 80 cm,,variant,enki-espejos-catalog#page=11,11,1
lux-050105,width,100,cm,variant,enki-espejos-catalog#page=11,11,1
lux-050105,height,80,cm,variant,enki-espejos-catalog#page=11,11,1
lux-050106,dimensions,120 x 80 cm,,variant,enki-espejos-catalog#page=11,11,1
lux-050106,width,120,cm,variant,enki-espejos-catalog#page=11,11,1
lux-050106,height,80,cm,variant,enki-espejos-catalog#page=11,11,1
lux-050107,dimensions,140 x 80 cm,,variant,enki-espejos-catalog#page=11,11,1
lux-050107,width,140,cm,variant,enki-espejos-catalog#page=11,11,1
lux-050107,height,80,cm,variant,enki-espejos-catalog#page=11,11,1
pure,product_type,espejo retroiluminado,,model,enki-espejos-catalog#page=12,12,1
pure,shape,rectangular,,model,enki-espejos-catalog#page=12,12,1
pure,orientation,horizontal,,model,enki-espejos-catalog#page=12,12,1
pure,crystal_thickness,4,mm,model,enki-espejos-catalog#page=12,12,1
pure,installation,pared,,model,enki-espejos-catalog#page=12,12,1
pure,electrical_connection,red directa,,model,enki-espejos-catalog#page=12,12,1
pure,lighting_type,LED,,model,enki-espejos-catalog#page=12,12,1
pure,light_direction,indirecta,,model,enki-espejos-catalog#page=12,12,1
pure,touch_on_off,si,,model,enki-espejos-catalog#page=12,12,1
pure,touch_antifog,si,,model,enki-espejos-catalog#page=12,12,1
pure,light_temperature,5700,K,model,enki-espejos-catalog#page=12,12,1
pure,bluetooth,no,,model,enki-espejos-catalog#page=12,12,1
pure,wireless_charging,no,,model,enki-espejos-catalog#page=12,12,1
pure,back_frame_material,aluminio,,model,enki-espejos-catalog#page=12,12,1
pure,edge_or_frame,bastidor trasero metalico de aluminio,,model,enki-espejos-catalog#page=12,12,1
pure,anti_corrosion,si,,model,enki-espejos-catalog#page=12,12,1
pure,protective_film,si,,model,enki-espejos-catalog#page=12,12,1
pure,ce_mark,si,,model,enki-espejos-catalog#page=12,12,1
pure,ip_rating,IP44,,model,enki-espejos-catalog#page=12,12,1
pure-050201,dimensions,60 x 70 cm,,variant,enki-espejos-catalog#page=12,12,1
pure-050201,width,60,cm,variant,enki-espejos-catalog#page=12,12,1
pure-050201,height,70,cm,variant,enki-espejos-catalog#page=12,12,1
pure-050202,dimensions,80 x 70 cm,,variant,enki-espejos-catalog#page=12,12,1
pure-050202,width,80,cm,variant,enki-espejos-catalog#page=12,12,1
pure-050202,height,70,cm,variant,enki-espejos-catalog#page=12,12,1
pure-050203,dimensions,100 x 70 cm,,variant,enki-espejos-catalog#page=12,12,1
pure-050203,width,100,cm,variant,enki-espejos-catalog#page=12,12,1
pure-050203,height,70,cm,variant,enki-espejos-catalog#page=12,12,1
pure-050204,dimensions,120 x 70 cm,,variant,enki-espejos-catalog#page=12,12,1
pure-050204,width,120,cm,variant,enki-espejos-catalog#page=12,12,1
pure-050204,height,70,cm,variant,enki-espejos-catalog#page=12,12,1
line,product_type,espejo con luz frontal,,model,enki-espejos-catalog#page=13,13,1
line,shape,rectangular,,model,enki-espejos-catalog#page=13,13,1
line,orientation,horizontal,,model,enki-espejos-catalog#page=13,13,1
line,crystal_thickness,4,mm,model,enki-espejos-catalog#page=13,13,1
line,installation,pared,,model,enki-espejos-catalog#page=13,13,1
line,electrical_connection,red directa,,model,enki-espejos-catalog#page=13,13,1
line,lighting_type,LED,,model,enki-espejos-catalog#page=13,13,1
line,light_direction,frontal directa,,model,enki-espejos-catalog#page=13,13,1
line,touch_on_off,si,,model,enki-espejos-catalog#page=13,13,1
line,touch_antifog,si,,model,enki-espejos-catalog#page=13,13,1
line,light_temperature,5700,K,model,enki-espejos-catalog#page=13,13,1
line,bluetooth,no,,model,enki-espejos-catalog#page=13,13,1
line,wireless_charging,no,,model,enki-espejos-catalog#page=13,13,1
line,back_frame_material,aluminio,,model,enki-espejos-catalog#page=13,13,1
line,edge_or_frame,arenado 35 mm,,model,enki-espejos-catalog#page=13,13,1
line,anti_corrosion,si,,model,enki-espejos-catalog#page=13,13,1
line,protective_film,si,,model,enki-espejos-catalog#page=13,13,1
line,ce_mark,si,,model,enki-espejos-catalog#page=13,13,1
line,ip_rating,IP44,,model,enki-espejos-catalog#page=13,13,1
line-050301,dimensions,60 x 70 cm,,variant,enki-espejos-catalog#page=13,13,1
line-050301,width,60,cm,variant,enki-espejos-catalog#page=13,13,1
line-050301,height,70,cm,variant,enki-espejos-catalog#page=13,13,1
line-050302,dimensions,80 x 70 cm,,variant,enki-espejos-catalog#page=13,13,1
line-050302,width,80,cm,variant,enki-espejos-catalog#page=13,13,1
line-050302,height,70,cm,variant,enki-espejos-catalog#page=13,13,1
line-050303,dimensions,100 x 70 cm,,variant,enki-espejos-catalog#page=13,13,1
line-050303,width,100,cm,variant,enki-espejos-catalog#page=13,13,1
line-050303,height,70,cm,variant,enki-espejos-catalog#page=13,13,1
line-050304,dimensions,120 x 70 cm,,variant,enki-espejos-catalog#page=13,13,1
line-050304,width,120,cm,variant,enki-espejos-catalog#page=13,13,1
line-050304,height,70,cm,variant,enki-espejos-catalog#page=13,13,1
form,product_type,espejo con luz frontal y lupa,,model,enki-espejos-catalog#page=14,14,1
form,shape,rectangular,,model,enki-espejos-catalog#page=14,14,1
form,orientation,horizontal,,model,enki-espejos-catalog#page=14,14,1
form,crystal_thickness,4,mm,model,enki-espejos-catalog#page=14,14,1
form,installation,pared,,model,enki-espejos-catalog#page=14,14,1
form,electrical_connection,red directa,,model,enki-espejos-catalog#page=14,14,1
form,lighting_type,LED,,model,enki-espejos-catalog#page=14,14,1
form,light_direction,frontal directa,,model,enki-espejos-catalog#page=14,14,1
form,touch_on_off,si,,model,enki-espejos-catalog#page=14,14,1
form,touch_antifog,si,,model,enki-espejos-catalog#page=14,14,1
form,light_temperature,5700,K,model,enki-espejos-catalog#page=14,14,1
form,magnification,x3,,model,enki-espejos-catalog#page=14,14,1
form,bluetooth,no,,model,enki-espejos-catalog#page=14,14,1
form,wireless_charging,no,,model,enki-espejos-catalog#page=14,14,1
form,back_frame_material,aluminio,,model,enki-espejos-catalog#page=14,14,1
form,edge_or_frame,arenado 35 mm,,model,enki-espejos-catalog#page=14,14,1
form,anti_corrosion,si,,model,enki-espejos-catalog#page=14,14,1
form,protective_film,si,,model,enki-espejos-catalog#page=14,14,1
form,ce_mark,si,,model,enki-espejos-catalog#page=14,14,1
